@relation 'Desercion_Academica-weka.filters.AllFilter-weka.filters.unsupervised.attribute.Remove-R1-3,10-12'

@attribute Edad numeric
@attribute Semestre numeric
@attribute AsignaturasCursadas numeric
@attribute AsignaturasAprobadas numeric
@attribute CreditosCursados numeric
@attribute CreditosAprobados numeric
@attribute Estado {GRADUADO,DESERTOR,ACTIVO}

@data
31,1,7,1,18,3,DESERTOR
33,1,6,5,18,15,DESERTOR
24,5,9,9,32,32,ACTIVO
29,8,20,20,60,60,GRADUADO
31,1,6,0,18,0,DESERTOR
27,10,73,67,164,157,GRADUADO
28,10,69,63,174,165,GRADUADO
28,10,69,63,174,165,GRADUADO
31,2,4,0,12,0,DESERTOR
29,1,8,0,20,0,DESERTOR
44,1,9,5,26,15,DESERTOR
43,3,22,20,72,64,ACTIVO
46,10,11,11,11,11,DESERTOR
31,5,16,11,47,30,DESERTOR
21,1,5,1,17,3,ACTIVO
31,10,19,19,19,19,GRADUADO
21,3,19,16,64,54,ACTIVO
45,9,46,46,122,122,GRADUADO
29,9,58,58,151,151,GRADUADO
29,9,58,58,151,151,GRADUADO
35,8,45,45,124,124,GRADUADO
33,10,13,5,28,8,DESERTOR
20,1,4,1,14,4,ACTIVO
39,3,12,8,41,28,ACTIVO
36,1,4,4,14,14,ACTIVO
33,8,50,50,161,161,GRADUADO
25,8,59,48,191,154,ACTIVO
30,3,10,9,34,30,ACTIVO
21,1,4,2,14,8,ACTIVO
35,2,13,12,36,33,DESERTOR
30,7,62,37,193,121,ACTIVO
29,4,25,20,71,56,DESERTOR
27,1,6,3,20,9,DESERTOR
53,2,11,9,29,25,GRADUADO
55,4,21,18,60,52,GRADUADO
37,8,51,50,137,135,GRADUADO
20,5,32,31,106,103,ACTIVO
20,3,15,15,48,48,ACTIVO
27,8,61,58,156,148,GRADUADO
27,1,6,4,18,12,DESERTOR
26,1,5,4,17,14,ACTIVO
31,3,7,5,23,17,ACTIVO
23,6,32,32,108,108,ACTIVO
26,5,58,36,179,110,ACTIVO
34,6,40,17,106,46,DESERTOR
28,2,13,11,36,30,DESERTOR
33,8,51,48,158,148,ACTIVO
28,4,8,8,27,27,ACTIVO
26,1,10,4,34,12,DESERTOR
52,3,16,15,51,48,ACTIVO
49,9,31,31,87,87,GRADUADO
30,9,33,30,96,86,GRADUADO
39,10,20,20,20,20,GRADUADO
39,10,20,20,20,20,GRADUADO
28,6,36,35,122,118,ACTIVO
30,7,80,29,220,85,ACTIVO
26,3,43,19,134,58,DESERTOR
30,3,21,7,59,20,DESERTOR
32,2,12,4,35,11,DESERTOR
21,2,16,7,53,25,DESERTOR
29,1,6,5,18,15,DESERTOR
